name,category_name
"Jowar(ಜೋಳ)","cereals(ಧಾನ್ಯಗಳು)"
"Maize(ಮೆಕ್ಕೆ)","cereals(ಧಾನ್ಯಗಳು)"
"Paddy(ಭತ್ತ)","cereals(ಧಾನ್ಯಗಳು)"
"Ragi(ರಾಗಿ)","cereals(ಧಾನ್ಯಗಳು)"
"Rice(ಅಕ್ಕಿ)","cereals(ಧಾನ್ಯಗಳು)"
"Sajje(ಸಜ್ಜೆ)","cereals(ಧಾನ್ಯಗಳು)"
"Wheat(ಗೋಧಿ)","cereals(ಧಾನ್ಯಗಳು)"
"Others(ಇತರೆ)","cereals(ಧಾನ್ಯಗಳು)"

"Walnut(ಆಕ್ರೋಡು)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Almond(ಬಾದಾಮಿ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Cashew Nuts(ಗೋಡಂಬಿ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Dates(ಖರ್ಜೂರ ಉತ್ತತ್ತಿ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Peanut(ಕಡಲೇಕಾಯಿ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Pistachio(ಪಿಸ್ತಾ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Raisins(ಒಣದ್ರಾಕ್ಷಿ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"
"Others(ಇತರೆ)","Dry Fruits(ಒಣ ಹಣ್ಣುಗಳು)"

"Cotton(ಹತ್ತಿ)","Fibre Crops(ಫೈಬರ್ ಬೆಳೆಗಳು)"
"Jute(ಸೆಣಬು)","Fibre Crops(ಫೈಬರ್ ಬೆಳೆಗಳು)"
"Others(ಇತರೆ)","Fibre Crops(ಫೈಬರ್ ಬೆಳೆಗಳು)"

"Chrysanthemum(ಸೇವಂತಿಗೆ)","Flowers(ಹೂಗಳು)"
"Jasmine(ಮಲ್ಲಿಗೆ)","Flowers(ಹೂಗಳು)"
"Lilly(ಲಿಲ್ಲಿ)","Flowers(ಹೂಗಳು)"
"Marigold(ಚೆಂಡು ಹೂವು)","Flowers(ಹೂಗಳು)"
"Rose(ಗುಲಾಬಿ)","Flowers(ಹೂಗಳು)"
"Crossandra(ಕನಕಾಂಬರ)","Flowers(ಹೂಗಳು)"
"Lotus(ತಾವರೆ)","Flowers(ಹೂಗಳು)"
"Sunflower(ಸುರ್ಯಕಾಂತಿ)","Flowers(ಹೂಗಳು)"
"Others(ಇತರೆ)","Flowers(ಹೂಗಳು)"

"Apple(ಸೇಬು)","Fruits(ಹಣ್ಣುಗಳು)"
"Banana(ಬಾಳೆ ಹಣ್ಣು)","Fruits(ಹಣ್ಣುಗಳು)"
"Chikoos(ಸಪೋಟ)","Fruits(ಹಣ್ಣುಗಳು)"
"Grapes(ದ್ರಾಕ್ಷಿ)","Fruits(ಹಣ್ಣುಗಳು)"
"Guava(ಸೀಬೆ)","Fruits(ಹಣ್ಣುಗಳು)"
"Mango(ಮಾವಿನ ಹಣ್ಣು)","Fruits(ಹಣ್ಣುಗಳು)"
"Others(ಇತರೆ)","Fruits(ಹಣ್ಣುಗಳು)"

"Fish(ಮೀನು)","Live Stock,Poultry,Fisheries(ಪೌಲ್ಟ್ರಿ , ಮೀನುಗಾರಿಕೆ)"
"Goat(ಮೇಕೆ)","Live Stock,Poultry,Fisheries(ಪೌಲ್ಟ್ರಿ , ಮೀನುಗಾರಿಕೆ)"
"Sheep(ಕುರಿ)","Live Stock,Poultry,Fisheries(ಪೌಲ್ಟ್ರಿ , ಮೀನುಗಾರಿಕೆ)"
"Pigs(ಹಂದಿ)","Live Stock,Poultry,Fisheries(ಪೌಲ್ಟ್ರಿ , ಮೀನುಗಾರಿಕೆ)"
"Others(ಇತರೆ)","Live Stock,Poultry,Fisheries(ಪೌಲ್ಟ್ರಿ , ಮೀನುಗಾರಿಕೆ)"

"Mustard(ಸಾಸಿವೆ)","Oil Seeds(ಎಣ್ಣೆ ಬೀಜ)"
"Soyabean(ಸೋಯಾಬೀನ್)","Oil Seeds(ಎಣ್ಣೆ ಬೀಜ)"
"Ground Nut Seed(ಕಡಲೇಕಾಯಿ ಬೀಜ)","Oil Seeds(ಎಣ್ಣೆ ಬೀಜ)"
"Others(ಇತರೆ)","Oil Seeds(ಎಣ್ಣೆ ಬೀಜ)"

"Beans(ಬೀನ್ಸ್)","Pulses(ಕಾಳುಗಳು)"
"Green Gram Dal(ಹೆಸರುಕಾಳು)","Pulses(ಕಾಳುಗಳು)"
"Horse Gram(ಹುರಳಿ ಕಾಳು)","Pulses(ಕಾಳುಗಳು)"
"Black Gram(ಉದ್ದಿನ ಕಾಳು)","Pulses(ಕಾಳುಗಳು)"
"Others(ಇತರೆ)","Pulses(ಕಾಳುಗಳು)"

"Ginger(ಶುಂಠಿ)","Spices(ಮಸಾಲೆಗಳು)"
"Garlic(ಬೆಳ್ಳುಳ್ಳಿ)","Spices(ಮಸಾಲೆಗಳು)"
"Nutmeg(ಜಾಯಿಕಾಯಿ)","Spices(ಮಸಾಲೆಗಳು)"
"Turmeric(ಅರಿಶಿನ)","Spices(ಮಸಾಲೆಗಳು)"
"Others(ಇತರೆ)","Spices(ಮಸಾಲೆಗಳು)"

"Onion(ಈರುಳ್ಳಿ)","Vegetables(ತರಕಾರಿಗಳು)"
"Potato(ಆಲೂಗಡ್ಡೆ)","Vegetables(ತರಕಾರಿಗಳು)"
"Cucumber(ಸೌತೆಕಾಯಿ)","Vegetables(ತರಕಾರಿಗಳು)"
"Tomato(ಟೊಮೆಟೊ)","Vegetables(ತರಕಾರಿಗಳು)"
"Others(ಇತರೆ)","Vegetables(ತರಕಾರಿಗಳು)"

"Betal Leaves(ವೀಳೆಯದ ಎಲೆ )","Horticulture(ತೋಟಗಾರಿಕೆ)"
"Arecanut(ಅಡಿಕೆ)","Horticulture(ತೋಟಗಾರಿಕೆ)"
"Others(ಇತರೆ)","Horticulture(ತೋಟಗಾರಿಕೆ)"
"Others(ಇತರೆ)","Others(ಇತರೆ)"
